AGE,TOT_LOAN,TOT_LOAN_CRD,LOAN_BNK,LOAN_CPT,CRDT_CNT,GUARN_CNT,INCOME,LOAN_CRD_CNT,LATE_RATE,LATE_RATE_1Y,INS_MON_MAX,CANCEL_CNT_1Y,CALL_TIME,TEL_COST_MON,MOBILE_PRICE,SUSP_DAY,LATE_TEL,COMB_COMM,SEX,PAY_METHOD,JOB,TARGET
30,117,6,108,6,2,0,3300,0,2,10,390,0,1.38,120,900,0,0,0,M,A,B,0
40,48,15,12,33,6,0,4100,0,22,0,60,0,0.66,220,900,0,0,1,F,B,B,0
35,21,21,21,0,2,0,0,0,5,20,60,0,2.65,40,0,0,0,0,F,B,B,0
60,33,33,33,0,6,0,0,0,2,0,60,0,2.61,40,500,0,0,1,F,B,C,0
50,63,18,60,3,8,0,5900,0,7,0,260,0,0.47,40,800,15,0,1,M,B,B,0
50,300,300,273,27,7,0,4100,0,4,10,200,0,6.78,80,700,0,0,0,M,C,B,0
35,108,108,99,6,5,0,3400,0,2,0,40,0,0.47,100,900,0,110,1,F,B,C,0
60,15,15,0,3,5,0,5800,0,23,10,990,0,0.86,100,600,0,0,0,F,C,C,0
60,30,6,21,0,3,0,0,1,12,20,790,0,0.77,80,800,0,0,0,F,C,B,0
60,231,0,9,0,4,0,4900,1,42,0,100,0,2.53,80,900,0,0,1,M,C,C,0
45,534,524,0,6,5,0,4200,0,22,10,80,0,1.14,100,900,0,0,0,F,C,B,0
60,36,0,36,0,3,0,0,0,3,0,390,0,2.06,60,600,0,0,0,F,C,B,0
55,66,18,57,6,3,0,5000,0,1,0,80,0,0.08,60,900,0,0,0,M,B,C,0
35,0,0,0,0,2,0,3600,0,30,0,590,0,0.55,50,700,0,0,1,F,C,C,0
45,18,18,18,0,3,0,0,0,0,0,40,0,0.85,80,400,0,0,0,M,C,B,0
55,228,9,228,0,7,0,4500,0,0,0,590,0,0.26,70,900,0,0,0,F,C,C,0
60,42,0,0,0,0,0,0,0,4,0,160,0,2.26,60,500,0,0,1,M,D,B,0
55,108,108,108,0,6,0,3900,0,1,0,300,0,2.39,50,900,38,0,1,M,B,C,0
40,0,0,0,0,5,0,4300,0,3,10,230,0,1.53,220,900,0,0,0,F,C,A,0
60,48,48,48,0,3,0,0,0,5,0,1490,0,2.82,120,900,0,0,0,M,C,C,0
60,15,0,15,0,1,0,0,0,13,0,40,0,0.71,70,300,0,0,0,F,C,B,0
60,489,138,489,0,5,0,5300,0,0,0,260,0,0.29,80,900,0,0,0,M,B,A,0
45,48,48,48,0,3,0,0,0,14,20,80,0,0.16,50,1000,0,0,1,F,C,B,0
45,156,0,0,0,1,0,4100,2,24,0,160,0,1.2,60,1000,0,0,0,F,C,A,0
45,27,21,21,3,7,0,5500,0,0,0,390,0,0,20,800,0,0,0,F,C,C,0
60,6,6,6,0,4,0,0,1,17,30,2490,0,0.68,50,500,0,0,1,F,C,C,0
35,27,27,27,0,3,0,5100,0,0,0,190,0,1.09,100,900,0,0,1,F,B,C,0
40,0,0,0,0,0,0,4800,1,7,10,490,0,0,100,900,0,0,0,F,C,C,0
55,21,21,0,0,2,0,0,0,0,0,0,0,7.19,60,500,0,0,1,M,C,B,0
50,15,15,15,0,2,0,0,0,0,0,100,0,0.59,80,900,0,0,0,M,B,D,0
40,9,9,0,9,8,0,5100,0,7,0,40,0,0.58,140,1000,0,0,0,M,C,C,0
40,99,99,87,0,2,0,0,0,17,0,50,0,1.06,160,900,0,210,0,M,A,B,0
50,634,291,426,18,1,0,0,0,3,0,0,0,0,10,900,0,0,0,M,C,B,0
35,9,9,9,0,3,0,0,0,0,0,110,0,2.32,100,0,1,0,0,F,B,B,0
55,93,3,90,0,5,0,0,0,23,0,60,0,0,40,500,0,0,0,F,C,B,0
50,24,0,21,3,4,0,4100,0,3,0,70,0,0.84,70,900,0,0,1,M,C,D,0
60,54,6,45,6,3,0,0,0,0,0,70,0,0,20,700,0,0,0,M,C,C,0
55,21,0,21,0,2,0,4100,0,0,0,30,0,2.05,80,800,0,0,0,F,C,A,0
40,0,0,0,0,4,0,0,0,1,20,160,0,3.32,120,0,0,0,0,M,C,B,0
45,54,0,0,0,1,0,0,0,4,0,150,0,0,50,0,0,0,0,F,B,B,0
30,93,93,93,0,6,0,0,0,14,10,4990,0,0,200,1000,11,0,0,F,C,C,0
45,72,0,0,0,4,0,4600,0,16,30,60,0,3.41,120,600,0,0,0,M,B,C,0
45,333,114,333,0,3,0,5400,1,4,0,590,0,0.78,80,900,0,0,0,M,B,C,0
45,15,0,0,15,3,0,0,0,2,0,230,0,1.88,40,0,0,0,0,F,B,B,0
40,201,0,138,0,2,0,5000,1,36,0,0,0,0,100,400,0,0,0,F,B,C,0
50,36,15,3,18,5,0,5900,1,6,0,990,0,0.42,30,800,90,0,1,F,B,C,0
45,210,27,180,0,5,0,0,0,23,0,260,0,2.15,160,800,0,0,0,F,C,B,0
50,198,198,81,6,6,0,5800,0,2,0,260,0,6,20,900,0,0,0,M,C,C,0
60,132,18,126,6,7,0,0,0,3,0,40,0,2.55,40,0,0,0,1,M,C,B,0
50,171,171,135,0,3,0,0,0,1,0,50,0,3.63,70,800,0,0,1,M,C,B,0
45,105,18,84,0,3,1,0,0,19,0,230,0,0,60,600,0,0,0,M,C,B,0
45,744,0,534,0,2,0,5100,0,0,0,70,0,1.91,80,800,0,0,1,M,B,C,0
35,12,12,0,0,2,0,3200,0,8,10,80,0,1.12,100,900,0,0,1,M,B,B,0
35,9,9,0,0,4,0,4000,0,13,0,100,0,0.8,80,900,0,0,1,F,C,C,0
45,81,6,81,0,3,1,4200,4,28,0,590,0,0.21,40,1000,0,0,0,F,B,C,0
30,93,0,93,0,1,0,3400,0,2,10,140,0,0.82,80,300,0,0,1,M,B,B,0
45,75,75,0,0,2,0,5400,0,0,0,300,0,0.52,60,0,0,0,0,F,C,C,0
35,12,0,0,12,2,0,3900,0,0,0,590,0,1.58,80,600,0,0,1,F,C,B,0
65,195,0,0,0,2,0,0,0,33,50,120,0,0.5,40,900,0,0,1,F,C,B,0
55,27,27,27,0,2,4,5000,0,7,0,490,0,2.76,200,900,0,0,0,M,C,C,0
60,0,0,0,0,2,0,0,0,1,0,340,0,3.53,40,400,0,0,1,F,C,B,0
65,48,0,48,0,4,0,0,0,19,0,590,0,0.96,80,1000,0,0,0,M,C,B,0
30,138,0,138,0,3,0,5000,0,4,0,260,0,2.9,60,0,0,0,0,M,C,B,0
30,9,3,3,3,1,0,0,0,35,40,790,0,2.44,80,1000,0,0,0,F,B,D,0
50,69,33,33,0,2,0,0,0,15,0,390,0,1.07,70,1000,0,0,0,M,C,B,0
55,15,0,0,0,3,0,0,0,0,0,30,0,0.4,40,0,0,0,1,F,C,B,0
30,0,0,0,0,1,0,0,0,5,0,300,0,0.36,50,600,0,0,1,F,B,D,0
65,18,12,0,3,3,0,0,0,0,0,990,0,2.86,40,1000,0,0,0,M,C,A,0
40,0,0,0,0,2,0,6300,2,34,0,1490,0,0.82,240,900,0,0,1,M,B,C,0
45,3,3,0,0,2,0,4000,0,1,0,40,0,1.54,360,900,0,180,1,M,A,B,0
35,180,129,129,48,1,0,4200,0,6,0,0,0,2.65,70,800,0,0,0,M,B,B,0
40,96,0,96,0,2,0,3700,0,7,0,300,0,0.48,40,300,0,0,0,F,C,B,0
55,24,6,6,15,3,0,4500,0,4,0,790,0,6.53,30,0,0,0,0,F,C,C,0
55,0,0,0,0,3,0,4700,0,0,0,80,0,2.99,120,0,0,0,0,M,C,C,0
50,3,3,3,0,4,0,3100,0,5,20,40,0,2.34,100,800,0,0,1,F,C,C,0
60,66,9,0,0,2,0,5400,0,4,0,790,0,0.11,40,0,6,0,0,F,C,C,0
25,6,6,6,0,1,0,3000,0,0,0,160,0,0.87,200,500,0,0,1,F,C,C,0
45,15,9,3,9,1,1,5200,0,0,0,340,0,1.35,70,600,0,80,0,F,A,C,0
30,9,6,0,3,1,0,0,0,7,10,490,0,0.84,120,900,0,160,1,F,D,B,0
60,18,18,18,0,3,0,4000,0,1,0,590,0,1.64,70,900,0,0,0,F,C,C,0
45,21,12,3,18,6,3,0,0,21,20,40,0,9.33,80,500,0,0,0,M,B,B,0
50,150,21,138,12,4,0,5100,0,0,0,300,0,0.65,50,800,0,20,1,F,C,A,0
45,63,6,57,6,3,0,4700,0,7,0,30,0,2.11,70,1000,43,0,1,F,B,C,0
55,210,0,12,0,6,0,4500,0,4,0,140,0,1.35,80,0,0,0,1,M,C,C,0
35,57,57,57,0,7,0,3600,3,1,0,260,0,2.26,100,800,0,0,1,F,B,C,0
55,198,0,198,0,3,0,6400,0,0,0,340,0,1.94,40,400,0,0,1,M,C,C,0
60,18,18,0,18,1,0,0,0,17,0,990,0,0,30,700,0,0,1,F,C,A,0
35,69,0,69,0,4,0,0,0,45,60,230,0,0,0,1000,860,0,0,F,C,B,0
45,30,30,0,0,3,0,0,0,0,0,40,0,1.07,70,0,0,0,1,M,B,B,0
40,48,48,48,0,2,0,5600,1,3,20,790,0,2.28,40,0,0,0,0,F,C,D,0
45,15,3,9,0,3,0,0,0,0,0,0,0,0.24,100,700,0,30,0,M,B,B,0
35,105,105,78,12,4,0,4000,0,49,40,990,0,0,70,700,0,0,0,M,B,B,0
55,18,18,18,0,2,0,4400,0,0,0,390,0,0,0,0,0,0,0,F,C,C,0
45,21,21,21,0,4,0,3400,0,7,0,590,0,1.65,80,900,0,0,0,F,B,C,0
45,117,117,18,0,5,0,5400,0,1,0,490,0,1.58,50,300,0,0,1,F,B,B,0
50,63,12,0,0,4,0,3200,0,11,0,60,0,0,50,0,0,0,0,F,C,C,0
55,3,3,3,0,5,0,5100,0,1,0,130,0,0.91,60,300,0,0,1,M,C,C,0
35,6,6,0,6,2,0,0,0,0,0,60,0,2.33,220,900,0,0,0,F,C,B,0
55,201,201,201,0,3,0,4000,0,5,20,790,0,2.26,50,0,0,0,0,F,C,C,0
60,63,3,0,3,4,0,4400,1,3,0,300,0,3,60,500,0,0,0,F,C,C,0
55,21,0,21,0,2,0,4900,0,3,10,200,0,0.68,60,500,0,0,1,F,D,A,0
60,12,12,0,0,4,0,0,0,0,0,60,0,0.9,100,300,0,0,0,F,C,C,0
35,339,198,138,0,1,0,3400,0,2,10,190,0,1.59,120,900,0,0,1,F,C,D,0
60,72,0,72,0,2,0,0,0,21,0,200,0,0.7,30,0,0,0,1,F,C,C,0
55,105,0,105,0,5,0,4100,0,0,0,100,0,0.68,40,900,0,0,1,M,C,A,0
60,12,12,9,3,1,0,0,0,3,0,100,0,0.93,40,800,0,0,1,M,C,B,0
35,147,48,117,27,5,0,4500,0,0,0,260,0,2.81,160,1000,0,0,1,M,B,C,0
40,42,30,3,6,5,0,4300,0,0,0,190,0,0.66,180,1000,0,0,0,M,C,C,0
45,30,0,21,9,3,0,5300,0,1,0,590,0,2.58,80,900,0,0,0,M,C,B,0
55,63,0,0,0,2,0,3300,0,0,0,160,0,1.4,80,800,0,0,1,F,C,C,0
50,12,0,0,9,0,0,6300,0,3,0,160,0,0.5,30,600,27,0,0,F,B,B,0
25,24,24,24,0,1,0,0,0,2,10,120,0,3.65,180,900,0,0,1,F,C,B,0
55,48,48,0,0,3,0,0,0,5,0,70,0,3.5,50,500,0,0,1,F,C,B,0
65,27,6,27,0,5,0,0,0,32,0,590,0,1.33,50,600,0,0,0,M,C,B,0
60,15,15,0,0,0,0,0,0,3,0,70,0,0.83,50,0,0,0,0,F,C,B,0
40,72,72,72,0,4,0,0,0,41,20,790,0,0.86,70,0,45,0,1,M,C,B,0
45,129,129,99,0,3,0,4500,0,0,0,200,0,1.76,60,900,0,0,0,M,B,A,0
45,36,24,0,9,3,0,0,0,11,20,790,0,0.72,50,600,0,0,1,F,C,B,0
50,93,0,0,0,1,0,4400,0,0,0,190,0,0.59,50,500,0,0,1,F,C,B,0
40,12,0,0,12,2,0,5200,0,37,30,790,1,0,50,800,0,100,0,F,C,C,0
40,54,0,54,0,3,0,0,0,8,10,590,0,4.18,60,900,0,0,1,F,B,B,0
50,69,0,69,0,2,0,5200,0,0,0,40,0,1.71,70,800,0,0,1,M,C,C,0
50,9,9,0,0,2,0,6000,0,5,0,1490,0,0.62,50,300,0,0,1,F,B,B,0
50,3,3,3,0,3,0,3800,0,32,0,90,0,0.88,70,900,0,0,1,F,C,C,0
45,189,189,189,0,3,0,3200,0,0,0,260,0,3.29,40,0,0,0,1,M,B,D,0
45,0,0,0,0,2,0,4900,0,4,10,990,0,1.07,80,800,0,0,1,F,B,A,0
50,465,36,465,0,7,0,0,0,4,0,30,0,0,0,0,0,0,0,M,B,B,0
40,153,12,0,3,4,0,4900,0,13,20,100,0,0.73,120,800,0,150,1,F,C,B,0
45,93,0,0,0,0,0,4200,0,24,90,50,0,1.02,60,300,0,0,1,M,C,B,0
50,9,9,0,0,3,0,0,0,3,10,1190,0,0.35,100,900,0,130,0,M,A,B,0
45,102,102,30,69,5,0,6000,0,0,0,0,0,0.72,40,0,0,0,0,M,C,A,0
45,0,0,0,0,5,0,0,0,13,0,200,0,3.91,100,500,0,0,1,F,C,B,0
35,18,18,0,18,1,0,4200,0,6,0,0,0,3.37,60,900,0,0,0,M,C,B,0
40,18,18,18,0,3,0,4500,0,5,0,80,0,1.55,50,800,0,0,0,F,C,C,0
30,18,0,18,0,2,0,4400,0,3,0,50,0,1.86,50,0,0,0,1,M,C,C,0
45,198,24,12,9,10,0,4600,0,10,20,340,0,0.76,120,900,12,0,0,F,C,B,0
55,168,0,168,0,3,0,5400,0,2,0,30,0,1.2,50,700,0,0,0,F,C,C,0
45,111,15,15,0,3,0,5000,0,32,0,340,0,0.12,20,0,0,0,0,M,C,B,0
55,102,27,102,0,3,0,3500,0,2,0,50,0,1.19,70,800,0,0,1,F,B,C,0
45,18,9,9,9,5,0,0,0,5,0,390,0,2.19,80,900,0,0,0,F,C,B,0
45,27,27,0,0,2,0,3100,0,0,0,60,0,0.26,70,500,0,0,1,F,B,D,0
50,0,0,0,0,4,0,4200,0,1,0,490,0,0.51,60,0,0,0,1,F,B,B,0
55,0,0,0,0,2,0,0,0,0,0,0,0,0.41,40,200,0,0,0,F,D,B,0
50,6,6,0,0,7,0,5600,2,3,0,160,0,0.5,40,300,0,0,0,F,B,B,0
50,39,36,12,3,4,0,5600,0,3,20,490,0,0.83,30,0,0,0,0,M,C,B,0
55,18,0,18,0,2,0,5100,0,0,0,300,0,3.03,30,900,0,0,0,M,A,C,0
55,39,39,9,0,3,0,5100,0,1,0,390,0,1.14,60,600,0,0,1,F,B,B,0
55,39,0,39,0,1,0,0,0,0,0,70,0,1.94,70,1000,0,0,0,F,B,B,0
55,54,0,54,0,2,0,0,0,3,0,1490,0,0.44,20,300,0,0,0,M,C,B,0
60,9,9,0,0,2,0,0,0,29,0,50,0,0.57,60,700,0,0,1,F,C,C,0
45,3,3,0,0,2,0,5400,0,1,0,70,0,1.58,80,900,0,0,0,M,C,A,0
60,21,12,18,0,4,0,4800,0,36,60,990,0,0,0,0,0,0,0,F,B,C,0
50,60,57,60,0,3,0,6400,0,10,0,30,0,1.61,40,900,2,0,1,M,B,C,0
50,72,72,63,0,4,0,0,0,2,20,300,0,1.42,100,800,0,120,1,F,A,B,0
35,6,6,0,0,5,0,0,0,0,0,110,0,1.84,280,900,0,0,1,F,C,B,0
60,99,0,99,0,4,0,0,0,26,0,90,0,0,0,0,0,0,0,M,D,C,0
45,183,0,183,0,2,0,0,0,1,10,1190,0,1.31,80,700,0,0,1,F,C,B,0
25,6,6,0,0,0,0,3200,0,33,0,100,0,8,100,800,0,0,1,F,C,C,0
65,138,138,0,0,1,0,0,0,9,10,490,0,1.68,50,200,0,0,0,M,C,B,0
55,18,18,18,0,6,0,5800,0,1,0,390,0,0.92,40,700,0,0,1,F,C,C,0
35,21,21,0,0,0,1,4700,0,0,0,340,0,0.86,200,800,3,0,1,M,C,C,0
45,72,42,27,42,4,0,0,0,4,0,1190,0,0,40,900,0,0,0,M,B,B,0
45,42,42,42,0,2,0,0,0,0,0,590,0,1.23,100,700,0,0,0,M,B,B,0
45,644,644,39,0,0,0,4700,0,2,0,60,0,0.8,100,900,0,0,0,M,C,C,0
45,33,33,0,33,2,0,3300,0,15,0,390,0,0.55,80,900,0,80,0,M,C,A,0
55,18,18,18,0,2,0,3900,0,4,0,200,0,0.6,50,500,0,0,1,M,B,C,0
45,39,0,39,0,1,0,4000,0,0,0,590,0,0,20,0,0,0,0,M,C,C,0
60,18,18,18,0,2,0,0,1,3,0,190,0,2.78,40,800,0,0,0,F,C,C,0
45,6,0,0,6,4,0,3800,0,0,0,190,0,1.86,100,1000,0,0,1,F,C,B,0
50,18,0,0,18,6,0,3900,0,0,0,40,0,1.77,40,0,0,0,1,F,B,C,0
45,168,3,168,0,4,0,4300,0,5,0,40,0,0.58,40,0,0,0,1,F,C,C,0
40,123,18,123,0,4,0,4000,0,0,0,340,0,0.68,40,900,0,0,0,M,B,C,0
55,195,18,195,0,4,0,4900,0,7,0,790,0,0.72,20,0,0,0,0,M,B,C,0
45,159,159,129,15,4,0,0,0,2,0,50,0,1,80,0,0,0,0,M,C,B,0
60,6,6,6,0,0,0,0,0,10,0,120,0,2.74,60,0,0,0,1,F,C,B,0
25,18,18,18,0,0,0,0,0,0,0,60,0,0,0,900,700,0,0,F,B,B,0
45,48,48,0,0,2,0,3500,0,0,0,50,0,1.33,80,500,1,0,1,M,C,A,0
35,3,3,0,0,0,0,3800,0,50,0,160,0,3.55,80,500,0,0,1,F,C,C,0
60,9,9,9,0,1,0,0,7,27,90,300,0,0,50,0,0,0,0,M,C,B,0
65,994,994,0,21,10,0,0,1,29,0,0,0,0.52,70,900,0,70,0,F,B,C,0
45,66,0,63,0,3,0,3800,0,2,0,90,0,1.71,70,300,0,0,0,F,C,B,0
50,9,9,9,0,4,0,8400,0,8,10,200,0,4.41,60,600,0,0,1,F,B,A,0
50,105,0,105,0,7,0,4600,0,27,0,0,0,1.26,30,0,0,0,1,F,B,B,0
45,129,9,0,0,3,0,0,1,31,60,1490,0,0,60,800,0,0,0,F,B,B,0
55,54,48,0,3,3,0,5500,1,41,20,120,0,1.56,50,0,0,0,1,F,B,B,0
40,78,78,78,0,5,0,4000,0,41,20,790,0,1,40,900,0,0,0,F,B,C,0
50,51,45,36,15,6,0,4300,0,2,0,490,0,1.43,40,300,0,0,0,F,C,C,0
55,3,3,3,0,3,0,0,0,38,10,490,0,2.14,80,800,0,0,0,F,C,B,0
50,0,0,0,0,3,0,0,0,2,0,230,0,1.18,70,300,0,0,1,M,B,B,0
55,12,12,3,9,3,1,5700,0,4,0,50,0,1.42,30,800,0,0,0,M,C,B,0
45,105,0,105,0,1,0,3700,0,5,20,490,0,0.7,70,700,0,0,1,F,C,C,0
45,0,0,0,0,0,0,5300,0,0,0,390,0,0.58,100,0,0,110,0,F,C,B,0
30,6,6,0,0,2,0,4200,0,0,0,110,0,2.65,80,1000,0,0,1,M,B,A,0
50,51,0,9,39,6,0,0,0,0,0,190,0,0.51,20,0,0,0,0,F,C,B,0
45,99,99,99,0,2,0,6100,0,0,0,340,0,1.27,50,400,0,0,1,M,B,B,0
60,69,69,69,0,6,0,5800,0,64,0,990,0,1.89,50,300,0,0,0,F,C,C,0
50,87,87,3,0,4,0,0,0,0,0,40,0,0.81,60,300,103,0,0,M,B,B,0
40,6,6,6,0,5,0,0,0,1,10,190,0,2.92,30,0,0,0,0,F,C,B,0
35,69,0,69,0,3,0,3200,0,2,0,60,0,0.54,70,900,0,0,1,M,B,D,0
35,33,33,15,18,3,0,0,0,6,20,230,0,1.82,120,800,0,150,1,M,A,B,0
40,21,18,0,6,3,0,4400,0,4,10,990,0,4.76,60,200,0,60,0,F,B,B,0
50,27,27,27,0,3,0,4100,0,0,0,120,0,0,60,900,0,0,0,F,B,C,0
50,51,0,9,39,6,0,0,0,0,0,190,0,0.51,20,0,0,0,0,F,C,B,0
55,39,39,39,0,2,0,4400,0,70,0,590,0,0,50,0,0,0,0,F,C,C,0
30,21,21,0,21,3,0,2900,0,32,0,60,0,2.31,80,800,0,0,1,F,C,C,0
50,6,6,0,6,4,0,0,0,0,0,0,0,0,120,0,1,180,1,F,C,B,0
40,15,15,15,0,1,0,4500,0,7,0,130,0,4.24,50,300,0,0,1,M,C,B,0
35,132,21,108,0,2,0,4200,0,0,0,190,0,0,140,0,0,0,0,M,B,B,0
45,33,33,0,12,6,0,0,0,9,0,490,0,0,20,200,0,0,0,F,B,B,0
45,57,0,57,0,2,0,4000,0,4,0,90,0,1.1,200,1000,1,0,1,F,C,C,0
55,9,9,0,9,4,1,4600,0,0,0,40,0,1.97,60,900,7,0,0,M,B,C,0
35,39,39,0,27,4,0,4300,1,8,10,390,0,1.56,120,700,0,0,1,M,B,C,0
65,12,12,12,0,1,0,0,0,25,0,0,0,4.68,40,300,0,0,1,F,B,B,0
40,42,15,6,18,3,0,3000,0,0,0,0,0,2.45,60,1000,0,0,0,F,B,B,0
45,81,81,78,3,3,0,0,0,1,0,790,0,0,30,400,0,0,0,M,C,B,0
55,177,0,159,0,2,0,0,0,4,30,30,0,0.77,60,900,0,0,0,F,C,B,0
50,135,0,111,21,3,0,0,1,5,0,70,0,1.06,70,900,0,0,1,F,B,B,0
40,48,48,48,0,5,0,2800,0,8,0,90,0,0,40,300,0,0,1,M,B,C,0
45,27,0,0,0,4,0,0,0,9,0,40,0,0.08,20,0,0,0,0,M,C,B,0
55,387,0,387,0,3,0,0,0,2,0,80,0,0.61,100,800,0,0,0,F,C,B,0
40,126,126,48,0,0,0,4400,0,19,0,40,0,0.68,200,700,0,110,0,F,C,A,0
40,54,3,0,0,4,0,0,0,4,0,200,0,0.86,70,1000,0,0,0,M,B,B,0
45,264,171,96,15,3,0,0,0,52,0,0,0,0.91,70,600,0,0,0,M,C,B,0
65,0,0,0,0,5,0,0,0,5,0,80,0,0.23,50,0,0,0,1,F,C,B,0
45,81,18,81,0,3,0,4000,0,7,30,230,0,0.55,30,1000,0,0,1,M,B,C,0
45,3,3,3,0,3,0,4700,0,15,0,0,0,0.63,50,900,0,0,0,F,C,A,0
45,48,48,48,0,6,0,5300,0,1,0,200,0,0,70,300,0,0,0,M,B,C,0
35,6,6,0,0,0,0,0,0,3,10,110,0,0.31,320,900,0,0,0,F,C,B,0
70,177,87,87,0,4,0,5800,0,0,0,990,0,0.19,10,0,0,0,1,F,B,C,0
30,3,3,3,0,2,0,3000,0,0,0,110,0,0,70,400,0,0,0,F,B,B,0
45,33,21,0,33,3,0,4600,0,3,0,190,0,2.35,380,900,0,0,1,F,B,A,0
40,216,66,216,0,4,0,4600,0,1,0,80,0,0.84,80,900,0,0,1,M,B,C,0
55,654,514,644,9,4,1,0,0,0,0,490,0,2.7,50,500,0,0,1,M,B,B,0
35,42,0,42,0,6,0,4100,0,0,0,110,0,1.32,50,600,0,0,0,F,B,B,0
30,63,54,54,9,5,0,5200,0,6,20,100,0,3.44,80,800,0,160,0,M,D,A,0
50,0,0,0,0,0,0,5600,0,3,20,590,0,0.83,120,900,0,110,1,F,D,C,0
45,123,0,123,0,4,0,3300,0,6,0,0,0,3.72,100,800,0,0,1,F,C,B,0
50,24,24,18,3,4,0,0,0,4,10,120,0,1.38,50,900,0,0,0,F,B,B,0
50,18,18,18,0,1,0,5000,0,3,0,90,0,2.49,200,900,0,0,1,M,C,C,0
40,534,39,498,39,6,0,3800,0,5,0,590,0,2.57,80,1000,0,0,1,F,B,C,0
45,30,0,0,30,2,0,3900,1,27,0,120,0,1.27,80,0,0,0,1,F,C,B,0
55,306,27,264,9,5,0,0,1,0,0,130,0,4.84,50,1000,0,0,0,F,B,B,0
55,57,57,0,0,1,1,0,0,0,0,340,0,0.32,20,0,0,0,0,M,C,B,0
50,138,138,138,0,4,0,4100,0,7,0,390,0,8.69,70,800,0,0,0,F,C,C,0
40,634,144,634,0,2,0,4300,0,11,20,340,0,0,10,0,0,0,0,M,B,A,0
55,147,48,147,0,5,8,0,0,0,0,120,0,0,80,800,0,0,0,M,C,B,0
60,3,0,0,3,0,0,4900,0,1,0,340,0,0.3,20,0,0,0,1,F,C,C,0
40,150,150,147,0,6,0,4400,0,2,0,300,0,1.7,200,900,0,0,0,M,B,C,0
50,132,39,93,0,3,1,0,0,10,0,1490,0,1.94,40,0,0,0,0,F,B,B,0
35,18,18,0,0,2,0,3600,0,3,10,490,0,2.45,40,0,0,0,1,F,B,C,0
30,159,159,159,0,3,0,5200,0,10,30,990,1,1.36,120,900,0,240,0,F,A,C,0
40,6,0,0,6,3,0,5200,0,2,0,260,0,5.97,160,800,0,140,0,F,D,C,0
45,348,0,0,0,6,0,5700,0,4,0,190,0,0.7,60,900,0,0,0,F,C,B,0
40,9,9,0,6,4,0,5400,0,5,0,300,0,0,20,0,0,0,0,F,C,C,0
35,9,9,9,0,3,0,0,0,2,0,50,0,0,80,900,0,0,0,F,B,B,0
60,3,0,0,3,2,0,0,0,3,0,30,0,0.39,20,0,0,0,0,F,C,B,0
35,66,66,66,0,3,0,0,0,3,0,30,0,0.68,80,900,0,0,0,F,C,D,0
55,6,0,6,0,4,0,4400,0,1,0,300,0,0,30,1000,0,0,0,F,B,C,0
