annual_inc,bc_util,dti,num_accts_ever_120_pd,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bc_limit,avg_cur_bal,pct_tl_nvr_dlq,total_acc,int_rate,home_ownership,term,TARGET
48000,86.7,18.6,0,0,0,247805,4000,29519,100,22,19.52,MORTGAGE, 60 months,1
52000,52.5,15.44,1,0,0,47287,7500,1608,96.2,26,16.99,MORTGAGE, 36 months,0
77000,97.6,34.6,0,0,0,348484,14100,16495,100,53,15.61,MORTGAGE, 36 months,1
105000,87.3,12.96,0,0,0,298884,23500,30808,90.9,22,9.99,MORTGAGE, 36 months,0
110000,25.2,11.08,0,0,0,286002,21800,25724,88.1,42,6.68,OWN, 36 months,0
75000,16.8,5.6,0,0,0,435200,103300,20795,100,27,7.89,OWN, 36 months,0
55000,78.5,14.79,3,0,0,165350,3800,12332,81.5,27,11.53,MORTGAGE, 36 months,0
1.00E+05,94.2,16.51,0,0,0,327970,18000,38397,100,23,14.65,MORTGAGE, 60 months,0
65000,69,13.72,1,0,0,173445,20700,22847,93.3,15,11.53,MORTGAGE, 60 months,0
80341,76.8,11.05,0,0,0,197700,19100,12484,91.7,24,7.89,MORTGAGE, 36 months,0
50000,82.7,30.12,0,0,1,77608,4500,3712,100,32,17.57,MORTGAGE, 60 months,0
93000,50.9,22.22,1,0,0,603827,37300,50052,92.9,29,19.52,OWN, 60 months,0
71000,56.7,32.76,0,0,0,215963,23900,13669,100,26,18.25,MORTGAGE, 60 months,0
43700,32.7,11.97,0,1,0,34000,10900,859,100,22,11.53,RENT, 36 months,0
85000,66.6,14.75,0,0,0,410862,36400,21401,84.8,34,11.53,MORTGAGE, 36 months,0
75000,28.1,20.71,1,0,0,217482,48800,6842,95.2,43,10.99,MORTGAGE, 36 months,0
99000,81.2,14.16,0,0,0,331179,12100,16248,97.1,34,11.53,MORTGAGE, 36 months,0
35000,24,30.49,0,0,0,58211,33750,1205,100,21,16.55,RENT, 36 months,1
65000,82.7,23.63,1,0,0,248914,900,35254,93.9,34,12.69,MORTGAGE, 36 months,0
79655,67.6,12.39,0,0,0,51705,24000,2221,100,17,11.53,RENT, 36 months,0
40000,0,3.63,0,0,0,9800,500,1320,88.9,9,13.99,MORTGAGE, 60 months,1
63000,78.5,15.58,0,0,0,37585,3500,2717,100,15,17.57,RENT, 36 months,0
38000,0,3.3,1,0,0,6100,5000,0,92.3,13,14.65,MORTGAGE, 36 months,0
46000,50.7,28.88,0,0,0,110302,24600,5783,100,18,5.93,RENT, 36 months,0
120000,91,30.06,0,0,0,403531,15300,22994,93.5,31,12.69,MORTGAGE, 36 months,0
54489,27.2,17.47,1,0,0,75160,28600,5889,95.8,24,6.68,RENT, 36 months,0
95000,97.4,3.42,0,0,0,9700,9700,1890,100,10,9.17,RENT, 36 months,0
52000,44.8,32.36,0,0,0,100781,21100,4958,96.9,32,7.89,RENT, 36 months,0
30000,90.9,35.2,1,0,0,49600,19200,6369,94.1,17,8.18,OWN, 36 months,0
98000,96.7,29.12,0,0,0,356882,4200,28392,100,25,17.86,OWN, 60 months,0
70000,54.6,1.13,0,0,0,7500,7500,1366,80,5,14.65,MORTGAGE, 36 months,0
39000,90.8,1.88,2,0,0,166100,2100,35766,69.2,13,13.33,MORTGAGE, 36 months,0
43000,98.4,18.39,0,0,0,39568,4000,3080,90.9,11,11.53,RENT, 36 months,0
68000,31.9,16.2,3,0,0,49314,10300,2081,61.5,26,14.65,RENT, 36 months,0
58397,32.1,16.42,0,0,0,188472,26700,10123,100,19,7.89,RENT, 36 months,0
42000,31.1,29.77,0,0,0,55239,4800,3781,100,18,19.52,MORTGAGE, 60 months,1
38000,97,34.78,4,0,0,44096,9000,2553,88,32,16.99,RENT, 36 months,0
32000,33.5,30.5,0,0,0,116362,22600,6001,100,21,6.92,MORTGAGE, 36 months,0
39000,41.6,20.98,0,0,0,30436,13700,2305,94.1,17,13.99,RENT, 36 months,0
30000,83.1,28.88,0,0,0,49961,13900,3595,100,24,9.17,RENT, 36 months,1
1.00E+05,12.4,16.72,0,0,0,155543,22900,14009,100,35,6.92,RENT, 36 months,0
40000,48.2,26.65,0,0,0,48292,23900,3166,95.8,50,6.39,OWN, 36 months,0
125000,89.6,8.26,0,0,0,56176,31400,5796,100,27,17.57,MORTGAGE, 60 months,0
130000,27,21.44,3,0,0,301537,9600,13535,70.6,52,15.61,MORTGAGE, 60 months,0
17000,54.9,8.33,0,0,0,9600,9600,1757,90,10,9.17,OWN, 36 months,0
33976,1.7,15.15,0,0,0,30662,14900,1660,68,26,15.61,RENT, 36 months,0
90000,22.6,10.16,0,0,2,199082,19100,16282,100,19,12.29,MORTGAGE, 36 months,0
49000,98.5,35.42,0,0,0,136476,20400,6685,100,32,9.99,MORTGAGE, 36 months,0
30700,89.4,31.98,0,0,0,61181,6500,4383,89.5,19,18.25,MORTGAGE, 60 months,0
128000,77.2,15.95,0,1,0,598853,12800,53989,89.7,30,14.65,MORTGAGE, 36 months,0
123000,1.1,1.55,1,0,1,218012,11400,30238,73.9,23,6.68,RENT, 36 months,0
54000,55.7,12.62,0,1,0,144998,1000,11207,100,19,9.99,MORTGAGE, 36 months,0
80000,59.9,16.65,2,0,0,78204,9200,4765,97.7,47,6.92,OWN, 36 months,0
250000,73,8.45,0,0,0,1024570,43524,54071,97,36,12.69,MORTGAGE, 36 months,0
94000,72.2,21.96,0,0,0,109463,27300,8366,70.6,17,17.57,MORTGAGE, 60 months,0
60000,23.1,13.7,0,0,0,39212,10800,2421,92.9,14,9.17,RENT, 36 months,1
85000,45.6,27.12,0,0,0,337800,2800,15737,95.8,26,12.69,MORTGAGE, 36 months,0
85000,75,24.94,0,0,0,280445,34400,15889,97.1,35,10.99,MORTGAGE, 60 months,0
32000,34,2.55,0,0,0,25336,3700,2902,100,8,7.89,RENT, 36 months,0
65000,57.5,28.67,0,0,0,216572,14000,19095,100,30,14.65,MORTGAGE, 36 months,0
130000,39.9,8.17,0,0,0,98621,48400,3629,100,42,7.89,RENT, 36 months,0
52000,96.7,16.27,0,0,0,39472,16400,2730,93.3,15,25.83,RENT, 60 months,1
110000,92.6,7.89,0,0,0,375916,3000,58279,84.2,19,16.99,MORTGAGE, 36 months,0
59000,34.4,16.43,0,0,0,49000,7300,2464,91.7,28,19.52,MORTGAGE, 36 months,0
42000,60.1,31.07,0,0,0,223784,24900,17002,100,26,9.17,MORTGAGE, 36 months,0
146000,0,6.17,2,0,0,160338,10700,14630,88.9,21,11.53,MORTGAGE, 36 months,0
40000,93,29.73,0,1,0,19971,1500,8173,78,23,14.65,RENT, 36 months,0
40536,61.7,22.5,0,0,0,40522,4500,5663,100,14,15.61,RENT, 36 months,0
120000,34.9,12.16,0,0,0,205858,139300,2454,91.7,48,6.92,RENT, 36 months,1
60000,16,17.84,0,1,0,38854,700,2580,97,36,22.99,MORTGAGE, 60 months,0
85947,100.8,5.99,2,0,0,36660,6400,2772,95.2,44,12.69,RENT, 60 months,1
70000,32.8,23.61,0,1,0,106995,30000,6445,94.4,18,12.69,RENT, 36 months,0
87672,39.8,17.88,4,1,0,114559,5300,9800,83.3,30,25.57,RENT, 60 months,0
50000,79.9,29.12,0,0,0,232624,13000,12153,100,27,14.65,MORTGAGE, 36 months,0
83000,20,34.3,0,0,0,272205,25500,10401,100,39,11.53,MORTGAGE, 60 months,0
51000,99.6,12.31,0,0,0,43571,15000,10284,89.3,28,12.29,MORTGAGE, 60 months,1
97900,87.2,15.89,0,0,0,103585,7700,11680,100,20,9.99,RENT, 60 months,0
315000,30.8,7.49,0,0,0,348551,76100,19353,100,41,11.53,MORTGAGE, 36 months,0
70000,0,15.29,0,1,0,38134,2800,2019,100,37,13.99,OWN, 60 months,0
1.00E+05,32.6,5.71,0,0,0,314367,25000,38506,100,25,8.18,MORTGAGE, 60 months,0
63000,96.8,20.02,0,0,0,68651,15800,5243,100,22,8.18,RENT, 36 months,0
55000,73.5,33.62,0,0,0,62324,10500,4706,96,25,19.52,RENT, 36 months,1
79000,91.1,18.81,3,0,0,185249,9300,15918,80,26,12.69,MORTGAGE, 60 months,0
32000,69.2,12.83,0,0,0,14082,4100,1029,90,10,9.17,RENT, 36 months,0
73000,58.1,18.59,0,0,0,76533,4800,7602,90,30,14.65,MORTGAGE, 36 months,0
60000,77.4,25.1,0,0,0,176850,10500,13901,88.2,17,19.52,MORTGAGE, 36 months,1
275000,83.6,13.43,0,0,0,540998,35600,28391,100,46,9.17,MORTGAGE, 36 months,0
250000,72.5,8.78,0,0,1,323396,16000,30018,95.7,23,17.57,MORTGAGE, 60 months,1
25000,72.6,17.95,0,0,0,29232,16700,951,89.2,37,16.55,RENT, 36 months,1
34527,63.7,38.55,0,0,0,56936,11400,4432,100,21,14.65,RENT, 60 months,0
132000,34,22.42,0,2,0,309531,15400,10487,100,68,16.99,MORTGAGE, 36 months,0
72000,75.7,34.28,1,0,0,68400,15300,7322,93.7,16,21.67,RENT, 60 months,1
70000,98.2,6.94,0,1,0,29928,7200,1205,100,31,13.33,RENT, 60 months,0
103995,50.4,10.02,7,0,0,233594,3000,18976,78.1,33,7.89,MORTGAGE, 36 months,0
69000,38.8,25.72,0,1,1,130015,7600,10027,100,45,8.18,OWN, 36 months,0
85000,35.7,24.56,0,0,0,503452,129000,25398,92.9,28,12.29,MORTGAGE, 36 months,1
95000,54.3,18.29,0,0,0,503444,38300,31512,96.4,28,12.69,MORTGAGE, 60 months,0
43680,0.1,16.38,1,0,0,35636,4900,2423,85.7,21,24.99,RENT, 60 months,1
60000,93.9,8.7,0,0,0,153053,10100,11653,100,21,12.69,MORTGAGE, 36 months,1
47500,9.8,30.72,1,0,0,62227,9800,2842,95.7,47,14.65,OWN, 36 months,0
78000,75.2,6.7,1,0,0,501655,8800,61703,84.6,27,13.33,MORTGAGE, 60 months,0
95300,15,15.3,0,0,0,154975,81800,1728,100,46,5.93,RENT, 36 months,0
75000,73,13.2,1,0,1,38637,5400,3309,93.3,16,13.33,RENT, 36 months,0
95000,94,11.84,0,0,0,184797,15700,15368,100,17,12.69,MORTGAGE, 36 months,0
96000,30.9,19.6,0,0,0,536061,114300,20286,100,44,9.99,MORTGAGE, 60 months,0
84000,54.4,16.55,0,0,0,319301,31800,15783,100,30,13.99,MORTGAGE, 60 months,0
136000,44.6,3.09,3,0,0,293540,24500,14598,90,40,9.17,MORTGAGE, 36 months,0
72000,63.6,13.92,0,0,0,43500,15700,3436,100,27,12.69,MORTGAGE, 60 months,0
45000,15.9,24.54,0,0,0,241344,48200,8160,98.1,53,12.29,MORTGAGE, 36 months,0
36000,30,24,0,1,0,118781,2100,5290,71,24,13.33,RENT, 36 months,0
72000,27.1,15.52,0,1,0,136049,24200,5709,100,22,13.99,MORTGAGE, 36 months,1
109200,15.1,4.3,0,0,0,27334,5500,2640,100,18,23.99,OWN, 60 months,1
150000,91.2,13.51,0,1,0,392375,4600,18929,87.1,31,9.99,MORTGAGE, 36 months,0
33275,59.9,27.2,0,0,0,27200,12200,1168,100,21,18.25,MORTGAGE, 60 months,1
243100,92.6,6.29,0,0,0,1148555,30000,99646,100,28,8.18,MORTGAGE, 60 months,0
44000,94,8.67,0,0,0,64924,5900,6669,100,26,11.53,RENT, 36 months,0
48000,63.8,31.4,0,0,0,219520,19900,11106,100,18,23.99,MORTGAGE, 60 months,0
1.00E+05,86,35.69,0,0,0,482892,52400,11716,98.3,58,12.69,MORTGAGE, 60 months,1
2.00E+05,43.5,6.5,0,0,0,90250,24000,3442,100,53,9.17,RENT, 36 months,0
33000,85.2,21.6,0,0,0,217103,9500,10772,100,35,17.86,OWN, 60 months,0
32000,6.1,4.28,0,0,0,38600,28800,341,100,31,8.18,RENT, 36 months,0
183300,93.6,13.4,0,0,0,370036,40000,54384,91.7,13,12.69,MORTGAGE, 36 months,0
48000,77.3,13.58,1,0,0,30100,10900,1192,95.7,23,16.55,MORTGAGE, 36 months,0
72500,88.4,23.35,0,0,0,169769,23100,6019,100,30,13.99,MORTGAGE, 60 months,1
25000,93.7,19.25,0,0,0,28200,14500,1698,100,11,22.99,OWN, 60 months,0
37000,90.5,24.98,2,0,0,45670,3200,3898,82.4,17,14.65,RENT, 36 months,1
78000,75.3,20.37,0,0,0,199210,7500,19813,100,31,7.89,MORTGAGE, 36 months,1
50000,38.6,18.24,0,1,0,191293,5900,13741,100,21,11.53,MORTGAGE, 36 months,0
171600,80.2,17.99,0,0,0,595759,40500,46204,92,25,15.61,MORTGAGE, 60 months,0
59890,98.7,9.71,0,0,0,13800,8400,1382,100,10,15.61,RENT, 36 months,0
181000,34.4,19.92,0,0,0,373049,111100,12153,96.9,33,20.49,MORTGAGE, 60 months,0
108000,92.5,21.23,8,0,0,160856,3900,8475,91.5,56,18.84,MORTGAGE, 36 months,0
31000,61.2,23.27,0,1,0,34862,500,1435,90,20,20.49,RENT, 60 months,1
150000,83.4,7.05,0,0,0,239300,44900,13871,100,23,22.99,MORTGAGE, 60 months,0
122000,75,29,0,0,0,302960,7100,25273,92,13,17.57,MORTGAGE, 36 months,0
140000,85.5,10.11,0,0,0,264672,52900,27540,95,20,21.67,MORTGAGE, 60 months,0
38000,90.9,17.06,0,0,0,96400,14200,5471,100,39,12.69,RENT, 36 months,0
41000,51.3,3.89,0,0,0,14100,11100,1140,100,7,13.33,RENT, 36 months,0
52000,76.5,8.54,0,1,0,177239,6000,27496,90,10,16.99,MORTGAGE, 36 months,0
65000,56.4,19.66,1,0,0,87097,78900,4956,96,25,11.53,OWN, 60 months,0
70000,62.8,5.14,0,0,0,261400,29500,33519,100,18,12.29,MORTGAGE, 36 months,0
32000,96.2,20.33,1,0,0,184500,12800,12498,92.9,28,21.67,MORTGAGE, 36 months,1
88000,32.3,15.3,2,1,0,75066,6000,9956,87.5,18,12.69,RENT, 36 months,0
62560,96.9,16.57,0,0,0,272967,14200,26031,100,10,9.99,MORTGAGE, 36 months,0
53000,87.5,15.19,0,0,0,38700,33100,3296,83.3,19,9.99,RENT, 36 months,0
72000,30.5,15.65,0,0,0,70086,17300,4023,100,22,12.29,RENT, 36 months,0
101000,65.1,16.74,0,0,0,205586,28600,12175,100,16,9.99,MORTGAGE, 36 months,0
56000,82.4,16.42,0,0,0,193233,20100,12690,96.8,31,13.33,MORTGAGE, 36 months,0
34600,98,32.5,2,0,0,15180,2500,1563,69.6,23,18.25,RENT, 36 months,0
175000,31.5,19.28,1,0,0,266223,18000,17383,89.3,30,12.29,MORTGAGE, 36 months,0
169900,60.1,32.09,3,0,0,477033,19800,18886,87.7,57,7.89,MORTGAGE, 36 months,0
30000,24.8,34.28,0,0,0,34475,0,1883,92,26,16.99,RENT, 36 months,1
62000,98.5,24.29,0,0,0,293650,56200,36071,100,31,7.89,MORTGAGE, 36 months,0
77000,85.7,12.62,0,0,0,117170,13000,10853,100,26,14.65,MORTGAGE, 36 months,0
64963,62.2,8.37,0,0,0,140726,18400,12718,96,26,22.99,MORTGAGE, 36 months,1
120000,97.6,32.43,0,0,0,321796,4500,21273,100,45,18.84,MORTGAGE, 60 months,1
109200,20,14.71,2,0,0,104736,5000,10695,83.3,16,19.52,OWN, 36 months,0
80000,99.9,26.82,0,0,0,347241,31500,30019,100,28,22.99,MORTGAGE, 60 months,0
97000,71.5,26.34,5,0,0,415971,6000,16655,80,57,17.86,MORTGAGE, 36 months,0
54480,42,18.27,0,0,0,93242,41900,2954,100,33,6.92,RENT, 36 months,0
95000,67.6,12.28,0,1,2,44054,9100,3095,94.1,17,11.53,RENT, 36 months,0
49598.25,94,11.76,4,0,0,22446,2500,1691,75,16,17.57,RENT, 36 months,1
38500,7.8,2.56,0,0,0,54700,52700,511,100,23,16.99,RENT, 36 months,1
35000,13.9,27.61,1,0,0,45300,26300,1023,88,25,8.18,OWN, 36 months,1
27000,78.7,23.42,0,0,0,50684,6600,3872,100,12,11.53,RENT, 36 months,0
97500,69.9,10.63,1,0,0,39597,6100,3339,94.4,20,12.29,RENT, 36 months,0
24000,100.9,32.3,0,0,0,123775,10900,14390,100,13,17.86,MORTGAGE, 36 months,1
102000,53.8,12.58,0,0,0,557830,39500,27274,100,33,6.39,MORTGAGE, 36 months,0
120000,58.1,4.22,3,0,0,485356,4100,27509,89.7,40,18.84,MORTGAGE, 36 months,1
65000,57.4,4.67,0,0,0,9400,3400,702,100,8,14.65,RENT, 36 months,1
32000,74.8,28.58,0,0,0,76152,2900,4116,100,30,21.67,OWN, 60 months,0
32000,82.2,15.38,2,0,0,36979,500,6090,84.2,19,17.57,RENT, 36 months,0
76000,84.2,36.99,0,0,0,287178,16300,17983,100,55,18.25,MORTGAGE, 60 months,1
23938.08,100.1,26.78,0,0,0,16800,9100,3077,100,5,20.49,RENT, 36 months,1
73000,57.1,29.82,1,0,0,49491,9600,2050,95.8,24,13.33,RENT, 36 months,0
62000,81.7,21.08,2,1,0,170161,6300,11589,92.6,27,13.33,MORTGAGE, 36 months,1
82000,11.6,11.68,0,1,0,42911,3500,3222,92.9,14,17.57,OWN, 60 months,0
62057,3.3,7.12,0,0,0,90000,67500,966,100,25,5.93,OWN, 36 months,0
55000,90,22.63,4,0,0,49490,7600,2369,88.6,35,25.8,RENT, 60 months,0
80000,65.6,20.7,1,0,0,197450,31100,12256,91.7,36,7.89,MORTGAGE, 36 months,0
46000,19.6,31.28,0,0,0,73798,29600,4126,100,15,11.53,MORTGAGE, 60 months,0
89000,79.8,14.77,1,0,0,65653,10500,9593,95.7,23,9.99,RENT, 36 months,0
70000,54.8,17.1,0,0,0,216731,6400,13068,89.7,39,7.89,MORTGAGE, 36 months,0
50000,21.5,18.29,1,0,0,34805,6400,3905,80,15,8.18,RENT, 36 months,1
126000,83.6,29.35,0,0,0,389550,29400,19426,98.1,53,14.65,MORTGAGE, 36 months,0
67000,97.1,22.1,0,0,0,242871,3500,25757,100,17,13.33,MORTGAGE, 60 months,0
30000,36.8,14.25,0,1,0,32781,11100,2969,100,15,7.89,MORTGAGE, 36 months,0
45000,23.5,4,0,0,0,116586,15100,13637,100,16,13.33,RENT, 36 months,0
104000,96.1,18.31,0,0,0,69069,6100,2186,100,22,17.86,RENT, 36 months,1
72000,93.5,12.53,0,0,0,261872,3600,27767,95.6,46,17.57,OWN, 36 months,0
38500,93,22.44,1,0,0,197251,5600,23950,95.5,22,13.99,MORTGAGE, 36 months,0
55000,28.6,17.91,1,1,0,50162,14600,2047,92.6,34,14.65,RENT, 60 months,1
125000,95.5,26.68,0,0,0,276446,29400,17194,100,42,16.55,MORTGAGE, 60 months,1
80000,1.4,2.82,0,1,0,493199,6000,40048,96.2,26,16.99,MORTGAGE, 60 months,0
40000,45.1,20.07,0,0,0,77879,9800,4915,100,19,13.99,OWN, 36 months,0
120000,71,15.63,0,0,0,444097,43400,34898,100,33,13.33,OWN, 60 months,0
154546,73.3,11.18,0,0,0,294820,35100,18656,100,48,7.89,MORTGAGE, 36 months,0
36000,18,20.33,0,0,0,51200,36200,1656,100,14,6.39,RENT, 36 months,0
35000,32.2,20.88,0,1,0,90416,13400,2335,98.4,71,12.29,RENT, 36 months,0
125000,81.2,14.56,1,1,0,341750,11000,27265,91.3,26,13.33,MORTGAGE, 36 months,0
105000,83.4,13.87,0,0,0,66824,27000,3215,95.5,22,16.55,RENT, 36 months,0
74490,20.9,13.93,2,0,0,50558,15400,3328,85.7,21,20.49,RENT, 60 months,1
54000,85.5,32.02,0,0,0,253666,20800,19236,98.1,52,18.84,OWN, 36 months,0
90000,47.1,30.19,0,1,0,293929,46400,17871,92,25,13.99,RENT, 60 months,0
58000,97.2,17.28,0,0,0,33455,7100,4872,100,13,8.18,MORTGAGE, 36 months,1
36000,10.2,17.13,4,0,0,202958,19800,3005,96.6,60,17.57,MORTGAGE, 36 months,0
70000,44.6,5.79,0,0,1,365396,12700,40699,100,19,6.39,MORTGAGE, 36 months,0
60000,39.7,20.64,3,0,0,69396,28700,1704,81.2,32,22.99,RENT, 60 months,0
99700,57.3,22.45,2,0,0,215976,7600,11734,76.7,30,13.99,MORTGAGE, 60 months,0
42000,62,30.23,2,0,0,57073,12400,2451,92,25,8.18,RENT, 36 months,0
55318,77.6,24.43,3,1,0,281064,9200,21415,100,33,13.99,MORTGAGE, 60 months,0
85000,10.5,27.19,0,0,0,318937,7800,13264,88.6,38,19.52,RENT, 60 months,1
31200,97.9,23.52,0,0,0,136774,8300,11372,100,17,14.65,MORTGAGE, 36 months,0
94000,49.7,31.01,0,0,0,725368,34400,26959,93.3,45,10.99,MORTGAGE, 36 months,0
45000,9,1.97,0,0,0,54200,54200,815,100,11,6.92,RENT, 36 months,0
90000,63.8,31.15,1,0,0,548427,27700,26663,84.2,39,9.17,MORTGAGE, 36 months,0
128000,16.9,21.56,0,0,0,456946,28700,16962,100,53,6.39,MORTGAGE, 36 months,0
78000,98.1,18.78,0,0,0,78224,11700,3677,100,28,11.53,RENT, 36 months,0
55000,9.3,11.96,0,1,0,26015,7700,2361,100,16,12.69,RENT, 36 months,0
65800,86.7,25.46,1,0,0,69500,37600,4357,97.1,35,13.33,MORTGAGE, 36 months,0
48000,35.4,14.8,11,1,0,35800,28100,911,75.6,45,6.68,OWN, 36 months,0
47500,4.3,0.63,0,0,2,40660,11600,8010,91.3,23,16.99,RENT, 60 months,0
29680,14.5,12.01,0,0,0,17700,11600,477,100,20,12.29,RENT, 36 months,0
65000,44.5,10.62,0,0,0,272500,56500,14634,80,35,13.33,MORTGAGE, 36 months,0
47000,100.7,17.42,0,0,0,233599,10100,55688,100,20,16.99,MORTGAGE, 60 months,1
39000,44.5,15.41,0,0,0,34888,6000,1990,90.9,11,10.99,RENT, 36 months,0
63148,88.1,15.96,0,0,0,85318,57800,3163,92.3,14,12.29,RENT, 36 months,1
48000,77.7,30.83,0,0,0,185735,7000,12732,100,50,8.18,RENT, 36 months,0
85000,53.7,19.46,0,0,0,63598,17900,1719,100,34,11.53,RENT, 36 months,0
58000,9.7,35.9,0,0,0,150513,16200,8840,100,23,16.55,MORTGAGE, 36 months,1
138000,46.1,10.82,0,0,0,239751,3500,16029,100,65,7.89,MORTGAGE, 36 months,0
45000,68.4,5.89,1,0,0,10900,8000,1006,94.4,18,12.29,RENT, 36 months,0
120000,12.4,11.37,6,1,0,58405,8200,3503,87.2,51,14.65,RENT, 60 months,0
3.00E+05,21.9,4.47,5,0,0,858307,14500,65162,88.1,42,15.61,MORTGAGE, 36 months,0
73500,52.2,16.73,0,0,0,276090,9000,13878,94.3,54,12.69,RENT, 36 months,0
120000,100,8.89,0,0,0,659400,8000,81885,100,24,15.61,MORTGAGE, 36 months,0
75000,49.3,12.96,0,1,0,193923,1500,18939,100,28,8.18,MORTGAGE, 36 months,0
51000,71.1,18.75,0,0,0,43900,3500,4811,100,18,12.69,RENT, 36 months,0
62000,65.6,32.06,3,0,0,115755,19100,3580,91.9,37,9.99,RENT, 36 months,0
48734,95.6,14.41,0,0,0,50640,1600,6376,100,15,16.55,RENT, 36 months,0
36000,24.8,26,0,0,0,211120,36000,20612,100,27,8.18,MORTGAGE, 36 months,0
61000,95.3,27.74,1,0,0,166344,5600,13897,95.5,50,16.55,RENT, 36 months,0
65000,46.2,29.45,0,0,0,213570,50700,7823,100,26,7.89,RENT, 60 months,0
79550,84.8,31.68,0,0,0,529007,16300,23284,100,52,12.29,MORTGAGE, 36 months,0
160000,86.3,9.82,1,0,2,70327,4100,8568,95.5,23,13.33,RENT, 36 months,0
40000,39.1,20.58,0,1,0,198490,4300,10530,96,32,8.18,MORTGAGE, 36 months,0
65000,92.6,32.53,1,0,0,233885,54600,11266,97.9,48,20.49,MORTGAGE, 36 months,0
39000,79.3,7.29,0,0,0,69900,6900,6632,100,16,15.61,MORTGAGE, 36 months,0
83400,94.7,23.84,1,0,0,55225,5300,2225,97,33,18.84,RENT, 60 months,0
41000,99.9,33.73,0,0,0,56283,6800,3856,100,23,16.99,RENT, 36 months,0
90000,88.5,25.2,0,0,0,291811,4400,21836,100,22,15.61,MORTGAGE, 60 months,0
122500,57.3,14.97,0,0,0,217800,96100,8034,100,43,18.25,OWN, 60 months,0
238697,84.8,7.56,0,0,1,442088,7800,35503,88.5,28,14.65,OWN, 36 months,0
39600,36.5,6.82,0,0,0,34100,32800,1330,100,12,16.99,MORTGAGE, 36 months,0
94800,80.5,15.35,0,0,0,78056,25000,11809,92.3,13,11.53,MORTGAGE, 36 months,0
60000,31.6,27.8,2,1,0,93620,33800,1275,94.3,54,16.55,RENT, 36 months,0
128000,21.3,23.62,0,1,0,516578,22000,18425,100,62,20.49,MORTGAGE, 60 months,0
73378,57.3,7.62,0,0,0,127686,9100,9490,92,26,16.55,MORTGAGE, 60 months,0
35600,90.5,19.55,1,0,0,25900,6800,1705,96.8,31,12.29,RENT, 36 months,0
312000,34.3,15.62,0,0,0,1326700,128600,57968,100,53,6.92,MORTGAGE, 36 months,0
72000,3.4,13,0,1,0,231620,26300,12944,100,25,13.99,MORTGAGE, 36 months,0
160000,60,10.7,0,0,0,509518,66000,38057,100,19,12.29,MORTGAGE, 60 months,0
128000,99.5,15.93,2,0,0,699851,1500,48228,91.5,59,13.33,MORTGAGE, 60 months,1
