number_treatment,temperature,humidity,rain,wind,sunshine,insolation,pressure,so2,fine_dust,no2,ozone,co,blog,twitter,news,date
290720,21.60118883,89.76515639,24.70732546,2.009435438,0.390523897,3.636773866,1001.207551,0.002820019,23.92745806,0.014716133,0.038413131,0.427548918,1107,3269,25,thu
451548,6.747894109,80.22819458,24.55949689,1.531046487,0.425954219,1.747906322,1017.282176,0.005363766,38.95704264,0.035795949,0.017613362,0.850438772,1690,4878,29,wed
298672,23.56397972,82.75969281,23.67549703,1.700137845,5.272294465,9.677745435,1000.584227,0.003910885,29.00767226,0.017155883,0.049659262,0.449107119,736,2968,29,wed
261672,25.03764603,86.82036382,23.63663279,2.40356602,0.185909,2.947647173,999.0074195,0.003791496,42.59460063,0.015090818,0.042072802,0.455111242,795,3424,16,thu
304487,25.99408787,81.63145691,22.52641334,3.158330075,3.052088265,5.408751089,1000.991782,0.00350225,35.89509391,0.01237664,0.032190666,0.526337086,1046,4093,54,thu
84573,16.7756296,88.14922072,22.39675128,2.124757339,0.9509708,4.188160323,999.2358031,0.00332551,22.29768148,0.012015403,0.043440997,0.404832246,832,4595,12,sun
361515,25.96575677,82.53049434,21.78002263,3.506354996,2.908897119,5.959467635,1003.886883,0.003112445,21.02803545,0.009696257,0.020565374,0.305781744,822,11308,17,mon
49393,23.48736334,81.3892748,21.58951831,2.295030442,2.239555537,6.626813623,1000.114566,0.002808375,13.55250661,0.008518337,0.038100421,0.327048489,810,4799,20,sun
445919,11.06639322,78.29745471,21.38240019,1.840729163,0.0330224,1.970304892,1015.351867,0.00441589,44.35538258,0.030913371,0.037163394,0.596410429,1413,6072,34,tue
616733,17.08877355,92.75465342,21.27424327,1.467703745,0.269169932,1.474691859,1017.323785,0.003576194,35.43371396,0.026295505,0.02201785,0.596866491,2910,10921,15,mon
400724,24.3676448,83.48940745,21.26682385,1.967908984,3.709136972,6.191850164,1006.594929,0.003423332,31.60476069,0.016739016,0.025645017,0.518437569,2085,5721,39,fri
57070,23.04089854,86.24410912,20.99831757,1.766986091,0.928749681,4.554282141,1012.106682,0.003144682,27.25974214,0.01329132,0.035108236,0.457968282,821,3664,10,sun
233745,26.45539221,83.53889421,20.86669636,2.818758565,0.929555295,3.704470149,1005.609776,0.003220548,28.76113217,0.011020147,0.025626458,0.358536803,927,3644,34,tue
494925,13.63863368,86.40210588,20.68244032,1.734444618,0.281785216,1.417589724,1018.391646,0.003721624,37.83869186,0.031022767,0.021110267,0.737152764,2540,10116,6,fri
620049,17.93649345,70.94753364,19.8514472,3.428213921,8.914478787,13.67954226,1006.509379,0.004370894,37.00261589,0.012692354,0.059691678,0.556511181,1354,4365,75,mon
761781,10.31158024,80.44883955,19.8478805,2.551545587,4.824923025,6.778612567,1004.2492,0.003870519,31.75360175,0.019125596,0.035507673,0.512593325,1465,11734,33,mon
58098,24.37478389,88.85152109,19.52412723,1.818824971,1.05523321,4.219588936,1008.69358,0.003742684,29.53000531,0.012894942,0.030583004,0.404102169,585,2944,11,sun
52201,26.08132145,83.69557334,19.44658722,2.552328878,2.22899686,6.713166589,1012.306815,0.003156223,21.49675186,0.008175076,0.019127371,0.300014767,500,3200,10,sun
262372,26.14985771,78.75425186,19.37010266,2.877362733,3.720198649,8.211880323,1008.885797,0.004149338,27.82228422,0.009782424,0.021341885,0.295369203,784,3749,27,fri
256788,23.72495377,91.74135207,19.01522059,1.098176673,0.651059154,4.599391828,1010.868401,0.0036855,22.12922749,0.017136613,0.025386877,0.416792196,1228,4869,49,wed
612698,4.55422013,90.12825917,18.91265993,2.071977967,0.028773024,0.623735677,1021.146535,0.005259794,36.92567786,0.030009605,0.021148078,0.897846457,1796,8986,42,mon
283758,21.24585448,91.26355105,18.3545931,1.682976948,0.104423801,2.647992413,1009.007329,0.00262209,26.81399849,0.017312791,0.036386267,0.451749079,1266,4735,30,thu
63689,21.84638205,83.74195955,17.69508231,1.882589769,1.605600931,5.605072755,1006.712995,0.002761695,23.27936378,0.01200581,0.038264538,0.36828082,676,2931,9,sun
336360,19.20399509,86.68104482,17.40497019,2.687356952,0.150222239,3.348863525,1005.66605,0.003001522,25.42217673,0.014188348,0.040527157,0.354867927,1141,4267,19,tue
78764,17.95273956,59.83457619,17.201616,3.504964685,3.816194323,9.051950118,1012.901528,0.00428679,35.9761772,0.011356889,0.059927222,0.388205337,998,4364,119,sun
465564,15.66525771,86.36658628,17.13609945,2.533643129,1.504520969,4.217282875,1003.506927,0.003222418,26.10431327,0.016493063,0.041483893,0.430454763,1070,4740,32,fri
251711,23.36055426,90.98928589,16.89235131,1.434617337,0.974954684,3.8112053,1006.553121,0.003485362,27.95851913,0.016953377,0.028481061,0.46139186,993,3489,47,thu
591012,16.88602884,72.36132102,16.66953575,3.557604456,3.300426055,4.729043337,1010.78463,0.002844174,21.15145704,0.011342013,0.034240125,0.366968445,2403,15689,16,mon
480930,6.932171016,78.06529629,16.03527828,3.434636128,1.659866321,3.555232209,1013.827265,0.003510738,30.38748672,0.016486029,0.038163686,0.511349691,1434,8577,25,wed
474202,14.511974,83.22203831,15.26692965,2.594318621,1.128235535,5.137448117,1008.868256,0.00307091,15.67871141,0.016503615,0.042489248,0.404396056,1402,4065,36,tue
267506,25.45625934,80.70019474,14.63673243,2.932522999,5.423993632,9.266340133,1000.239778,0.003858457,33.47930136,0.012315476,0.050407252,0.434185644,729,3094,27,wed
76253,8.886100315,72.63567327,14.61471895,2.261646475,3.739213534,4.154978604,1014.992156,0.006999324,78.34782763,0.027909133,0.035611574,0.927944867,1344,7126,20,sun
99996,9.097486586,65.36569879,14.19793698,1.925164807,5.824721355,8.237409558,1013.974984,0.005204679,49.37255473,0.024997072,0.039831208,0.716984982,1090,7456,29,sun
255068,25.66115149,82.00489483,13.81702703,3.581191239,0.772676116,5.019183817,1002.627927,0.003676088,35.53177083,0.011430482,0.042011192,0.372057181,901,5357,19,tue
280233,26.52557511,81.92125377,13.60914094,2.035297481,5.163263649,9.554106815,1006.516545,0.003236264,21.40765994,0.014105421,0.026709336,0.354667162,1048,5142,25,thu
71397,20.44839393,76.26072798,13.53440736,2.573871633,1.60912949,6.927013354,1009.660902,0.003901495,46.28838035,0.011519778,0.050949057,0.422834686,842,3768,18,sun
477471,12.55786805,75.73729092,13.28032344,1.642219708,0.926746338,2.532848282,1021.279681,0.004026473,35.210084,0.027549766,0.019525704,0.6107949,1424,11011,5,sat
54151,26.2422558,85.33395231,13.22634773,1.93729431,0.741147445,5.101260928,1004.376882,0.003854658,41.66049921,0.013744152,0.036309195,0.46499878,611,3154,11,sun
226207,27.31292847,79.37772913,13.14042562,2.083727338,6.801970441,9.901008507,993.4709237,0.003657231,35.7175518,0.014912927,0.044251846,0.405069315,828,4245,51,tue
433629,13.65814978,80.65594253,13.11842164,2.460537387,3.245311348,4.636241465,1019.342187,0.002817972,19.0593902,0.01538545,0.030816823,0.413717263,2744,14176,2,wed
475846,13.74708277,68.94359306,12.98299593,1.793810496,3.631921148,6.469262127,1013.27893,0.004625425,63.23605203,0.029610075,0.046267879,0.614075343,993,3366,22,thu
274770,23.20594435,92.41677082,12.91191304,1.379684893,0.798360786,4.837998094,1010.464522,0.003376591,16.07595169,0.016283887,0.02942405,0.426543264,1296,3898,22,tue
509399,14.42187859,82.70632042,12.89150178,1.974560471,0.129816218,2.020215583,1008.748302,0.004376506,41.09295756,0.023867615,0.041561795,0.567552325,1075,4326,16,sat
398000,22.64633658,84.66966812,12.78821115,1.670686398,1.959923822,4.781595879,1013.944039,0.003434264,34.97958621,0.018865378,0.037278854,0.515951126,1437,9461,31,wed
89343,15.67405602,79.13765386,12.54874813,1.859957115,0.237759587,3.914811496,1019.852855,0.004442345,34.49078133,0.016951809,0.0430463,0.418687196,892,3775,10,sun
642611,7.640403146,62.86877452,12.12122402,5.176490043,2.880268302,2.91917865,1008.396809,0.004068782,25.76177286,0.012345806,0.032430436,0.606047168,2468,9689,34,mon
272115,26.15243873,81.29573387,12.10729563,2.341409436,4.134731714,7.957829434,1005.827053,0.003439227,19.89337259,0.012908358,0.022078811,0.322055136,1140,6340,20,wed
266743,27.21006355,82.12748667,11.59796893,2.287026273,5.139891358,9.144325006,1002.395723,0.003713805,45.10230944,0.01365516,0.049565944,0.463247986,730,2931,18,wed
287405,28.28620357,78.09495283,11.40603637,3.387391929,7.044920514,11.60415639,1006.040819,0.002994883,22.5688464,0.00975638,0.022785225,0.336846644,979,3954,15,fri
59825,23.83147514,81.16862497,11.14076269,1.789458515,4.485678722,8.725627875,1003.373207,0.003641674,44.6422272,0.011555982,0.054046508,0.482982091,609,2659,30,sun
511703,21.0714984,71.06466157,10.70460334,2.539784122,0.331214479,3.850908419,1007.805705,0.00605977,75.25537978,0.022167471,0.044321918,0.49614245,1153,3838,61,mon
376501,24.99747219,92.96757138,10.59616738,2.185161105,0.473440016,3.446125088,999.8536975,0.00287142,15.45089928,0.011850696,0.029096017,0.357374201,1138,4151,67,mon
287708,23.30126667,80.72294186,10.36144639,1.826002301,0.812452841,6.904351455,1007.501012,0.004210478,60.34771284,0.016266366,0.057245047,0.510845054,1071,3527,58,wed
288656,24.23947833,85.5274017,10.31201163,1.786098661,1.495652553,5.105326554,1011.829259,0.003274905,22.77532413,0.015045139,0.028561309,0.349083805,980,4689,52,thu
618562,-3.525864317,38.22279296,10.19966192,2.352491635,8.678608925,7.355469552,1031.596427,0.004804855,31.29877698,0.020115072,0.025241694,0.534459041,2351,17178,27,mon
431293,21.27988109,83.76918344,10.0678453,1.639107661,3.498214487,9.200947083,1006.714901,0.003644976,35.54541155,0.015840975,0.038985897,0.401758013,1098,3845,28,mon
576769,6.098854592,81.20131768,9.821410146,2.341421925,0.085945604,0.746921885,1011.002717,0.005607621,46.24011726,0.029716284,0.021856383,0.963639597,2105,14037,29,mon
193075,27.49309346,82.61335157,9.771423179,2.048544391,3.913721887,8.594672118,1009.738851,0.003396205,25.19759202,0.010339439,0.02550257,0.34304325,545,3639,14,sat
252864,26.33088544,77.9609511,9.446477261,2.87102515,4.073289402,7.728747746,1009.215284,0.003322073,20.53700043,0.009862273,0.022157813,0.300257888,780,2805,33,wed
524764,14.21231292,75.95756648,9.371253594,1.934158843,1.221167627,4.038357449,1015.264444,0.004580822,40.94492107,0.023533564,0.035785768,0.508786718,1631,4841,72,tue
477297,4.645566255,78.42083883,9.245322467,2.960456974,0.498509114,2.668440318,1013.353622,0.003566038,31.03437964,0.01855452,0.036929722,0.57105706,1789,5604,43,thu
639095,14.71875788,74.49862066,9.239448693,3.117736679,2.867064099,5.179644515,1012.562502,0.004192702,40.45362248,0.017901633,0.047466737,0.559578271,1194,4854,29,mon
248931,26.80214027,77.27612959,9.226381119,2.787159297,7.039393616,10.87617286,1008.419269,0.003854454,26.47421917,0.011723871,0.032202162,0.319302997,574,3723,21,thu
96035,10.33549324,91.24825468,9.187251097,1.862160179,0.173178603,1.342563484,1012.16094,0.003735154,19.71582317,0.02071538,0.015720021,0.678656251,1831,8454,59,sun
367351,26.58534458,80.59946254,9.141059485,2.378477312,3.95369976,9.070430585,1011.621121,0.003441833,20.95044683,0.0099684,0.017920452,0.314736957,752,3057,21,mon
463134,6.185930113,79.68457372,9.090776092,1.785032028,0.100831141,2.071837631,1016.863947,0.00301253,23.73568085,0.017868014,0.037647702,0.432431994,1084,7797,4,sat
496664,14.06037817,81.97610741,8.770138331,1.773998822,3.287635826,5.838185281,1010.413315,0.004257301,40.65098111,0.025302322,0.034431434,0.624848193,1506,4700,42,wed
82966,16.33806275,71.89544939,8.737915685,1.584141259,8.566060786,8.871398218,1019.530119,0.003112155,25.77508835,0.01630884,0.037793557,0.42272374,1247,10481,51,sun
272415,25.57715265,81.26636704,8.626075574,1.643683137,4.94973757,9.778189083,996.1285616,0.003729029,25.45803224,0.013063348,0.035289079,0.349069103,683,2802,23,sat
396844,21.15721354,71.58073083,8.606913289,2.066739299,5.417251917,7.875486015,1017.013933,0.003174745,25.30434223,0.016512356,0.036877515,0.368414812,1901,6452,59,tue
544846,6.926245198,71.70786716,8.525239969,1.665961007,2.159675747,3.96170589,1024.135409,0.008102833,119.769145,0.040686254,0.031822132,1.186095836,1965,6297,60,wed
307906,19.46964728,79.18772199,8.510463297,1.844346541,5.242429332,10.06986333,998.774749,0.002865153,27.26875303,0.014814814,0.040439605,0.354721233,1023,3697,22,thu
265314,26.14834993,83.63814752,8.324551776,2.601857627,2.324853136,7.145547624,1000.67458,0.003184486,24.26657269,0.012571224,0.017874796,0.397272656,1077,3428,53,wed
255733,26.57973831,82.08202537,8.155241975,1.746442242,4.37299554,8.633691931,1002.337668,0.004015365,55.07163345,0.016407943,0.048803853,0.675179725,742,3083,34,tue
295234,22.77059259,79.01463976,8.038540641,1.562943586,2.886093725,7.242775704,1005.998276,0.004535635,45.68420949,0.019555031,0.051253275,0.513729434,815,3258,20,tue
483237,19.91799297,83.54830643,7.932722775,1.222166484,2.894120338,4.759308618,984.1800624,0.003586208,29.35570939,0.021015765,0.02232553,0.512459565,1467,5101,23,thu
409990,-4.258483008,35.43356359,7.819494314,3.73700405,8.451668185,7.179172003,1027.594208,0.003622865,22.03967132,0.012755519,0.028934813,0.377554414,2569,12790,48,thu
55293,24.45385524,84.53216376,7.765435388,1.187432602,2.234646838,6.384231638,1008.866957,0.004125443,56.93931261,0.015921484,0.042089529,0.610816264,742,4961,23,sun
200630,28.66002272,78.27123124,7.696028247,1.891032882,7.247201247,9.714642875,1008.661336,0.004446015,59.72195518,0.015966702,0.058065235,0.521376118,479,3076,10,sat
49699,27.52737616,83.35269195,7.3472803,1.901855231,5.410317516,9.468545351,1005.132943,0.003172511,33.58807563,0.009950703,0.046338519,0.398309214,512,3364,22,sun
299031,23.41353877,76.64557776,7.343707309,1.700709616,5.458066668,10.76874847,1005.103974,0.004083904,36.78334622,0.015743763,0.052742773,0.448064368,734,2502,18,thu
407791,18.69815881,69.33381829,7.176518925,1.552546974,2.392726387,6.249359689,1006.532347,0.004579785,64.47325544,0.024701377,0.045723294,0.45824381,1227,3311,32,tue
356183,21.94158209,80.647559,6.97474182,2.166514099,1.135053467,5.691605059,1011.950009,0.003235573,23.52048488,0.01535656,0.028044714,0.376242139,1409,5402,38,tue
302903,23.26950944,75.50584912,6.692277037,1.968725747,7.531761138,12.3607702,1002.576026,0.003678487,30.29203012,0.014454894,0.051956665,0.405483864,764,2901,20,wed
255902,26.41930134,80.01319868,6.674021669,3.173695241,4.515837384,7.44402664,1001.246124,0.003594733,39.31162628,0.011359725,0.042858049,0.550588885,805,3567,29,wed
268070,28.25521452,77.82179578,6.663057118,1.617515594,5.897240521,8.841129168,1009.340263,0.003935668,33.01877681,0.015683967,0.03692609,0.463136812,938,3055,46,thu
593695,0.842511955,61.33486525,6.64164032,1.942218509,7.144981934,5.632361312,1027.231759,0.004444334,39.61184268,0.026067914,0.026018503,0.670835007,1550,7496,63,mon
333815,22.53748495,78.26045826,6.63604293,1.826960491,6.039023558,9.313068179,1015.579645,0.003171526,23.92880249,0.015115613,0.037837204,0.366068564,1236,4065,47,fri
423919,2.337233622,74.33757619,6.581706502,3.083254232,1.865474763,2.266860908,1015.983243,0.004469505,29.16305081,0.018347042,0.02357992,0.583204893,2604,9786,42,wed
569671,20.19815478,78.87221765,6.29653278,1.528574822,4.320750648,6.416401823,967.4467121,0.003090759,19.94892649,0.015916589,0.031696915,0.431758441,1727,6513,44,mon
172952,8.194453384,69.6223822,6.225638683,1.842370839,2.7955296,3.6135678,1016.024931,0.005629098,46.73158599,0.028713807,0.027949884,0.927512581,944,6428,37,sat
292043,24.87464393,72.5996151,6.221650302,1.722618742,8.976174415,13.9694281,1010.037366,0.004447125,47.17509469,0.017149477,0.069502467,0.456159423,954,2837,28,tue
532924,9.968596415,88.6041589,6.204828929,2.11670452,0.226956662,0.878601061,1016.105086,0.004657656,35.58604788,0.027720601,0.013477861,0.840169693,2587,8813,90,fri
865427,4.919448897,61.37998715,6.16723744,1.419538999,7.898650441,8.422219187,1029.078499,0.01007518,118.5491752,0.039784713,0.042937339,1.151433488,1879,6522,60,mon
242691,25.89256114,85.08459413,6.131664927,1.574229751,3.39779001,7.446785971,1005.772974,0.003800107,46.33260942,0.015380674,0.03893219,0.454720939,1107,3596,86,wed
343515,27.67543269,80.1596993,6.063585608,2.171144362,6.731617169,10.18443354,1004.033589,0.003360067,37.65731311,0.012630361,0.042879207,0.44691286,766,2838,73,mon
279185,26.40941666,77.79670113,5.850945811,2.639227818,5.096230713,9.399528584,1007.332493,0.003466112,28.62156737,0.010776843,0.024579217,0.305879842,1066,9049,14,tue
283427,23.50530317,77.39776361,5.85045032,1.628323271,1.413170461,8.518081132,1010.521322,0.003639298,32.87933889,0.015597899,0.048798701,0.417934434,691,2671,44,sat
578204,-3.434365376,54.25340039,5.789579873,1.701874872,6.735574485,5.963206399,1024.419219,0.007246887,56.43545414,0.033325046,0.02484735,1.000702011,1668,10018,52,mon
297675,20.66063834,77.31963339,5.725531905,2.071528949,6.097773097,11.71836023,1006.179582,0.002894603,24.56650498,0.013319076,0.039227231,0.329656414,1135,3805,28,wed
308032,22.1191635,74.68811181,5.699271375,1.799517442,2.214638017,7.256025167,1005.018296,0.004387965,68.21313224,0.018682456,0.062163129,0.542817885,957,3170,15,tue
59810,25.47385027,73.58947086,5.691950682,1.609600204,8.474360348,11.94059849,1005.463583,0.003357383,27.66123516,0.011971979,0.052814577,0.460592471,679,3464,58,sun
253789,26.64766955,76.91024864,5.640979549,1.877185174,7.007447668,10.93601466,1010.2319,0.003763999,21.63217237,0.012235128,0.027133122,0.343049978,701,2351,33,thu
376159,27.45465216,80.96716004,5.565201773,2.363628619,4.652868754,8.717997763,1002.198607,0.003814082,56.00625697,0.013548944,0.051775238,0.720728048,780,2835,33,mon
514568,20.22745204,89.47449154,5.503806783,1.16347696,0.709528838,2.668302069,1013.384292,0.003330247,55.77562106,0.020923157,0.028027695,0.610639876,1966,6260,154,mon
332258,25.04862365,78.98133446,5.417678944,1.851441411,5.288767349,8.640325811,997.6968807,0.003922397,30.44801492,0.015161144,0.043569572,0.532768089,947,3627,57,fri
280907,25.16925186,82.95940418,5.362070608,1.477964701,3.720397833,8.435991086,1006.88975,0.003491183,30.32817927,0.017262942,0.03244094,0.457045581,1014,3401,38,tue
459800,17.93847089,68.14444438,5.354552728,1.741838829,4.452924298,9.723902578,1008.988511,0.005092476,41.80413271,0.018755387,0.052533144,0.447595503,774,4353,11,sat
266732,28.15980373,75.79776075,5.227417151,1.812979833,8.605210026,12.9643322,1009.913822,0.004666039,30.95817667,0.015579884,0.033081429,0.399585942,963,3307,33,thu
624492,1.025722542,56.87084726,5.21843168,1.275207501,8.233948686,6.178790088,1027.99059,0.008315682,65.17833912,0.035101528,0.020519976,1.017349393,1709,6087,60,mon
524461,-0.295766766,55.17463929,5.21843168,1.590457485,8.425682586,6.722105215,1034.492039,0.005741361,34.45339138,0.03048681,0.016924172,0.778569359,3159,9512,47,tue
429548,19.62840467,81.74737882,5.176738079,1.69785414,0.045186611,3.450257993,1018.590226,0.002714324,18.9211689,0.015839113,0.024508813,0.374490014,1544,7651,27,fri
238501,27.51674162,80.28682161,5.143315283,1.593554009,6.746208251,11.1724471,1006.805881,0.003909126,44.23033967,0.014056618,0.050553984,0.478679303,716,2585,34,thu
478534,-0.859322026,65.05361471,4.986732139,4.371970878,4.959468552,4.403233144,1018.661438,0.00499799,25.78631355,0.013428997,0.020424494,0.606023417,3820,15055,25,tue
159763,4.374436516,60.26865315,4.941011797,4.218050948,5.982967757,7.729325718,1015.454656,0.004398296,48.19496505,0.012852989,0.042228537,0.538290056,1147,6441,8,fri
311193,21.43107647,77.07863049,4.925861216,2.174881303,4.070419082,9.272927619,1009.857664,0.003312189,35.770271,0.014384446,0.03979831,0.375098396,1016,3913,28,tue
291496,24.54967182,80.52641262,4.911641552,1.491311063,1.75165131,6.207684557,1010.34993,0.00414879,71.04467592,0.018778362,0.047818958,0.575965826,964,3747,38,tue
486421,0.568211485,62.99338032,4.876239009,1.332712392,6.488394604,5.42756527,1026.552061,0.010212869,109.0570895,0.038749564,0.0229283,1.296387394,1774,7132,150,fri
386086,21.35578607,78.42801404,4.781237424,1.769219643,7.087479933,9.177069627,1015.774999,0.003253771,26.14899993,0.016405019,0.037846437,0.435868865,1560,5994,56,tue
625790,2.303090035,79.446376,4.697570766,2.343137599,4.945569722,5.194269515,1019.536544,0.004837426,32.48578028,0.022569602,0.031888263,0.69044252,1727,9820,31,mon
293292,24.55631887,75.1617439,4.597312558,1.379121626,6.861922812,11.52878514,1005.291849,0.005101608,44.73032003,0.021599556,0.057279722,0.516957548,749,2478,17,thu
658430,1.644616146,56.06089051,4.554267648,1.797756999,9.628585104,10.10886912,1030.012961,0.006723902,71.56655066,0.027496155,0.039287098,0.808982043,1686,6581,42,fri
81178,23.52884611,85.3924255,4.402591985,1.502817357,3.818517151,8.310541015,1008.620526,0.002828778,25.63679695,0.014111219,0.047512063,0.456169872,752,3149,30,fri
392059,22.69480675,76.10495792,4.39141729,1.305538544,3.667577876,7.245877798,1013.824132,0.004299722,59.71532228,0.021138654,0.04673298,0.568311881,1399,6802,39,tue
271031,23.90612316,77.59500954,4.345154768,3.007866691,4.494145627,8.623308076,1007.657453,0.002700375,15.74168769,0.010400428,0.044087364,0.346269226,1025,3479,75,fri
294495,24.64020532,81.53050162,4.225790187,1.816578392,4.873425577,9.315806871,1011.022239,0.003344897,24.33296714,0.013926636,0.044597135,0.436318398,1134,5616,40,tue
452398,17.98318313,67.22710819,4.21632406,1.903202311,2.811899498,7.11860067,1013.37625,0.00524874,66.70590087,0.029033979,0.053118923,0.57539599,1025,4846,40,thu
475499,1.222993763,83.34786155,4.162863235,1.471455074,0.021834058,1.51740336,1021.0501,0.005638451,59.46206624,0.032024415,0.017241161,0.963199,1690,9109,30,tue
94012,13.20258585,73.25271229,4.117180213,2.477611532,6.627610529,9.274473871,1009.683567,0.003468883,36.38473822,0.014787235,0.051954989,0.597110402,983,6563,14,sun
312348,22.58750575,78.20301955,4.112488664,1.773099558,5.692082489,9.104273617,1016.647229,0.003120758,21.88653425,0.013556912,0.035430906,0.348686738,1236,5224,46,thu
335528,21.56246485,74.87054685,4.104398127,2.279856575,0.730815724,5.101710441,1006.833361,0.003182754,30.01202631,0.014454557,0.040897589,0.369013592,952,4867,43,tue
983917,4.622371334,64.69468644,4.095498475,2.245307179,1.534765568,3.872863053,1026.638262,0.0060801,60.11832122,0.026989224,0.03332167,0.806238519,2243,8245,68,mon
543688,10.75984008,71.40259556,4.090708999,1.480661771,6.934362869,6.472571787,1025.137571,0.004472156,59.44106019,0.026315484,0.026190739,0.684486199,2515,20344,69,fri
513400,-1.129686531,43.40228244,4.079864768,1.879344819,9.833119019,9.752546024,1027.537523,0.00559622,31.43993259,0.021275452,0.033891708,0.579278825,1301,17472,16,sat
327706,22.3953434,82.58175001,4.022150699,1.366801713,2.477888991,6.632545761,1013.496572,0.004367398,51.49826971,0.020540105,0.039858306,0.528314418,775,4217,19,fri
61032,22.0535356,75.30908575,4.010619915,1.8607338,4.862436424,10.21726908,1007.458115,0.003095662,23.5629038,0.010228557,0.046652921,0.339686153,726,3206,12,sun
328690,23.51516979,72.30390299,3.985041454,2.01842903,7.951041923,10.51684256,1006.572682,0.003272119,30.03978025,0.011993065,0.041463413,0.435939041,776,4270,20,sat
428494,24.07740006,74.79016089,3.837484441,1.596780354,5.142032009,9.961299585,1009.242266,0.004077957,48.59132937,0.017466226,0.057139591,0.58725502,1042,3599,30,mon
